Función, BestFitness, BestFitness, BestFitness, BestFitness, BestFitness
1,6.502600e+05,1.506136e+07,9.008403e+06,2.173346e+06,2.274599e+05
2,4.475454e+03,7.028961e+07,2.297184e+04,1.381062e+03,5.521553e+03
3,1.632963e+03,1.049398e+04,4.235317e+03,2.269193e+03,5.549541e+03
4,1.751423e+01,8.779030e+01,4.649550e+01,3.048166e+01,3.370467e+01
5,2.010527e+01,2.013236e+01,1.961288e+01,1.860007e+01,2.030860e+01
6,2.203323e+00,3.935251e+00,9.702026e-01,1.655251e-01,1.340499e+00
7,5.401123e-02,1.117144e+01,9.513305e-02,3.941652e-03,5.526246e-02
8,7.269625e+00,1.254722e+01,4.365303e+00,3.860439e+00,1.031705e+01
9,9.855534e+00,1.313983e+01,5.276471e+00,3.504968e+00,2.069962e+01
10,1.690746e+02,4.890425e+02,1.354948e+02,7.237826e+01,1.195259e+02
11,5.501716e+02,8.028125e+02,2.561028e+02,8.897483e+01,7.003324e+02
12,2.491895e-01,3.647729e-01,8.270018e-02,7.964454e-01,4.075511e-01
13,1.682568e-01,2.473023e-01,6.896975e-02,3.218261e-02,1.696534e-01
14,2.964575e-01,7.830227e-01,4.013501e-01,3.873585e-01,3.425072e-01
15,1.041928e+00,1.774250e+00,1.097727e+00,1.009931e+00,2.194636e+00
16,2.778245e+00,3.355043e+00,2.757220e+00,2.012566e+00,3.386221e+00
17,4.481991e+04,2.749980e+05,2.078147e+05,1.034024e+05,8.278170e+04
18,2.365142e+03,8.128670e+03,7.651409e+03,7.873933e+03,8.973933e+03
19,1.508376e+00,3.897066e+00,1.640850e+00,6.189354e-01,1.234018e+00
20,1.249428e+03,3.878801e+03,4.308741e+03,3.776777e+03,4.781353e+03
21,2.365898e+03,1.962527e+04,7.743001e+03,6.160932e+03,6.355110e+03
22,2.182257e+01,1.188052e+02,5.819868e+01,1.306894e+01,1.171208e+01
23,3.294580e+02,3.330900e+02,3.298955e+02,3.294580e+02,3.294580e+02
24,1.234484e+02,1.594683e+02,1.323785e+02,1.133824e+02,1.259873e+02
25,1.803463e+02,1.981520e+02,1.975132e+02,1.947985e+02,1.902640e+02
26,1.001367e+02,1.001202e+02,1.000521e+02,1.000349e+02,1.001406e+02
27,2.066572e+02,3.304887e+02,2.662743e+02,2.630940e+02,2.926509e+02
28,4.070709e+02,6.686094e+02,4.692013e+02,3.764952e+02,3.811839e+02
29,4.125093e+02,5.025213e+05,4.868775e+02,4.695844e+02,9.565243e+02
30,8.559850e+02,2.690431e+03,1.509623e+03,7.084214e+02,5.290119e+02
