Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,1.2687e+05,6.0144e+05,7.4428e+04,4.8676e+05,4.0749e+06
2,1.4547e+03,1.0482e+03,7.2105e+02,1.8222e+07,2.6538e+08
3,9.8373e+02,3.9867e+03,2.3256e+03,2.2700e+03,1.1065e+04
4,2.4256e+01,3.3391e+01,3.4171e+01,3.5165e+01,6.1783e+01
5,1.8092e+01,2.0511e+01,1.8680e+01,1.8719e+01,2.0257e+01
6,6.8492e-01,1.4673e-01,2.1035e-02,2.1692e+00,5.7703e+00
7,2.5634e-02,5.7653e-03,3.8403e-03,1.2570e+00,4.3618e+00
8,3.6285e+00,3.3629e+00,2.5669e+00,1.6550e+01,4.5313e+01
9,6.4028e+00,6.4264e+00,2.5669e+00,2.1822e+01,3.5710e+01
10,6.7845e+01,6.5344e+01,6.2143e+01,1.7189e+02,8.2647e+02
11,2.1102e+02,5.6540e+02,4.8549e+01,3.3371e+02,1.0019e+03
12,1.9412e-01,1.4773e+00,8.7579e-01,1.1036e+00,1.1758e+00
13,8.9394e-02,1.5675e-01,8.9885e-02,2.4099e-01,5.6857e-01
14,2.7045e-01,3.4397e-01,3.4761e-01,2.9640e-01,1.9804e+00
15,8.9744e-01,1.1856e+00,9.7879e-01,3.9297e+00,1.0890e+01
16,1.6813e+00,2.2980e+00,1.2384e+00,2.8984e+00,3.1017e+00
17,4.4129e+03,2.8500e+04,6.4435e+03,3.1627e+03,1.8713e+04
18,3.2796e+03,7.1135e+03,8.1343e+03,1.0658e+04,3.4501e+04
19,1.0478e+00,4.9663e-01,3.5989e-01,2.4597e+00,4.9825e+00
20,1.0811e+03,4.5025e+03,3.7892e+03,1.9703e+03,2.2611e+03
21,9.9040e+02,4.4455e+03,1.6056e+03,2.3646e+03,5.2675e+03
22,1.0174e+01,9.1653e+00,5.2574e+00,2.6482e+01,5.0143e+01
23,3.2945e+02,3.2945e+02,3.2945e+02,3.2983e+02,3.3844e+02
24,1.1696e+02,1.1257e+02,1.0934e+02,1.2726e+02,1.4595e+02
25,1.6253e+02,1.9183e+02,1.8243e+02,1.6787e+02,1.9104e+02
26,1.0009e+02,1.0013e+02,1.0008e+02,1.0022e+02,1.0054e+02
27,8.7279e+01,2.4065e+02,1.9881e+02,6.8228e+01,2.4277e+01
28,3.8157e+02,3.7946e+02,3.8003e+02,3.9720e+02,5.1697e+02
29,4.5704e+02,6.2248e+02,5.8943e+02,8.7501e+02,6.4977e+03
30,6.4339e+02,6.7642e+02,5.7951e+02,7.2413e+02,1.8480e+03
