Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,1.0861e+07,3.5992e+08,1.0414e+08,1.8311e+06,1.6361e+07
2,1.3450e+04,1.6230e+10,3.5869e+08,1.0291e+04,2.3184e+07
3,1.0403e+04,7.5617e+04,2.6060e+04,1.1989e+04,2.6751e+04
4,1.1080e+02,1.8752e+03,2.2156e+02,7.5882e+01,1.2273e+02
5,2.0580e+01,2.0628e+01,2.0182e+01,2.0945e+01,2.0883e+01
6,1.6482e+01,2.5714e+01,1.1550e+01,2.7550e+00,8.3898e+00
7,1.0498e-02,1.5538e+02,6.4480e+00,3.6926e-04,9.1030e-01
8,5.4164e+01,1.1774e+02,3.0608e+01,1.5819e+01,1.3213e+02
9,8.0978e+01,1.4570e+02,3.9830e+01,1.8569e+01,2.0063e+02
10,2.2620e+03,3.8433e+03,1.1016e+03,3.3154e+02,1.9729e+03
11,3.4862e+03,5.0477e+03,2.7156e+03,7.2590e+02,4.1644e+03
12,7.3543e-01,6.3974e-01,1.3952e-01,1.3880e+00,1.6689e+00
13,3.3045e-01,3.5334e+00,2.4683e-01,1.2183e-01,6.1840e-01
14,2.8790e-01,6.3526e+01,2.3977e-01,3.9427e-01,8.8237e-01
15,1.2691e+01,1.0553e+03,1.5402e+01,3.1837e+00,3.2170e+01
16,1.2349e+01,1.2829e+01,1.1685e+01,1.1702e+01,1.3026e+01
17,1.3011e+06,2.0916e+07,6.5968e+06,6.4173e+05,9.8933e+05
18,2.8326e+03,9.8094e+07,8.7953e+02,1.4282e+03,3.4471e+03
19,1.6123e+01,1.9328e+02,6.8026e+01,8.6339e+00,8.3061e+00
20,1.7651e+04,5.7003e+04,2.7414e+04,2.0329e+04,4.6772e+04
21,4.0684e+05,5.3755e+06,7.6873e+05,2.8865e+05,5.2825e+05
22,4.1445e+02,7.1757e+02,4.5780e+02,1.9404e+02,2.4715e+02
23,3.1524e+02,3.9990e+02,3.2556e+02,3.1524e+02,3.1582e+02
24,2.3491e+02,2.4852e+02,2.3595e+02,2.3424e+02,2.3683e+02
25,2.1120e+02,2.1219e+02,2.1226e+02,2.0838e+02,2.0720e+02
26,1.0041e+02,1.3882e+02,1.1068e+02,1.0011e+02,1.0057e+02
27,7.1579e+02,1.0390e+03,6.2746e+02,3.6051e+02,5.1522e+02
28,9.8711e+02,4.3049e+03,1.1422e+03,8.7343e+02,8.6859e+02
29,3.7113e+03,1.2055e+08,5.1605e+04,1.6046e+03,1.2746e+06
30,4.6512e+03,6.6687e+05,3.2580e+04,3.5245e+03,3.6930e+03
