Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,5.1771e+06,5.5134e+05,7.8461e+05,8.0368e+06,7.5853e+07
2,9.3516e+03,1.2748e+04,9.9445e+03,7.1070e+07,9.3563e+09
3,2.8612e+03,1.3992e+04,1.0528e+04,8.8364e+03,4.4448e+04
4,9.5424e+01,6.3184e+01,7.5236e+01,1.4550e+02,4.6364e+02
5,2.0677e+01,2.1049e+01,2.0912e+01,2.0950e+01,2.0931e+01
6,6.9519e+00,2.0418e+00,9.0951e-01,7.1233e+00,2.5641e+01
7,2.6638e-02,1.0864e-03,4.3029e-04,1.6385e+00,5.8333e+01
8,2.7774e+01,1.9542e+01,1.1442e+01,5.1496e+01,2.1656e+02
9,4.1652e+01,7.2292e+01,2.1708e+01,1.3101e+02,2.3836e+02
10,5.7865e+02,1.0786e+03,1.9898e+02,8.0384e+02,4.6364e+03
11,1.3906e+03,5.1180e+03,2.6044e+03,3.1515e+03,5.7025e+03
12,2.1299e-01,3.2847e+00,2.4096e+00,2.5213e+00,2.4662e+00
13,2.0226e-01,3.9735e-01,1.9570e-01,2.4033e-01,1.7300e+00
14,2.9372e-01,3.8933e-01,3.0355e-01,3.9443e-01,2.4347e+01
15,4.0990e+00,1.1687e+01,4.0003e+00,1.6909e+01,1.3002e+03
16,9.4650e+00,1.2835e+01,1.1027e+01,1.1324e+01,1.1941e+01
17,3.8396e+05,3.2417e+05,2.6821e+05,3.7724e+05,1.3699e+06
18,4.7465e+02,5.4486e+02,7.3707e+02,4.2048e+03,1.0107e+07
19,6.6742e+00,7.8057e+00,3.7262e+00,8.0522e+00,2.4359e+01
20,7.8843e+03,2.2892e+04,4.7860e+03,1.0559e+04,9.5148e+03
21,1.9271e+05,2.5189e+05,2.2956e+05,1.9470e+05,4.2803e+05
22,1.9731e+02,3.5326e+02,1.5081e+02,8.9485e+01,4.3008e+02
23,3.1524e+02,3.1524e+02,3.1524e+02,3.1603e+02,3.4054e+02
24,2.3175e+02,2.3163e+02,2.2837e+02,2.2651e+02,2.7901e+02
25,2.0696e+02,2.0862e+02,2.0723e+02,2.0512e+02,2.1504e+02
26,1.0021e+02,1.0038e+02,1.0019e+02,1.0022e+02,1.0128e+02
27,4.2317e+02,3.4215e+02,3.2039e+02,4.0717e+02,4.5236e+02
28,8.9731e+02,8.5735e+02,8.4185e+02,8.7212e+02,1.2704e+03
29,1.2977e+03,1.5954e+03,1.5960e+03,3.0908e+03,6.5328e+05
30,2.7189e+03,3.3526e+03,3.2080e+03,2.6512e+03,4.2146e+04
