Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,4.5819e+06,1.0414e+08,1.8311e+06,7.8461e+05,8.0368e+06
2,8.4337e+03,3.5869e+08,1.0291e+04,9.9445e+03,7.1070e+07
3,3.7853e+03,2.6060e+04,1.1989e+04,1.0528e+04,8.8364e+03
4,9.8148e+01,2.2156e+02,7.5882e+01,7.5236e+01,1.4550e+02
5,2.0560e+01,2.0182e+01,2.0945e+01,2.0912e+01,2.0950e+01
6,7.1581e+00,1.1550e+01,2.7550e+00,9.0951e-01,7.1233e+00
7,3.9358e-02,6.4480e+00,3.6926e-04,4.3029e-04,1.6385e+00
8,3.1646e+01,3.0608e+01,1.5819e+01,1.1442e+01,5.1496e+01
9,3.7551e+01,3.9830e+01,1.8569e+01,2.1708e+01,1.3101e+02
10,6.1665e+02,1.1016e+03,3.3154e+02,1.9898e+02,8.0384e+02
11,1.9445e+03,2.7156e+03,7.2590e+02,2.6044e+03,3.1515e+03
12,3.5584e-01,1.3952e-01,1.3880e+00,2.4096e+00,2.5213e+00
13,2.0474e-01,2.4683e-01,1.2183e-01,1.9570e-01,2.4033e-01
14,2.7573e-01,2.3977e-01,3.9427e-01,3.0355e-01,3.9443e-01
15,4.1642e+00,1.5402e+01,3.1837e+00,4.0003e+00,1.6909e+01
16,1.0101e+01,1.1685e+01,1.1702e+01,1.1027e+01,1.1324e+01
17,4.3665e+05,6.5968e+06,6.4173e+05,2.6821e+05,3.7724e+05
18,1.0774e+03,8.7953e+02,1.4282e+03,7.3707e+02,4.2048e+03
19,6.6356e+00,6.8026e+01,8.6339e+00,3.7262e+00,8.0522e+00
20,9.5225e+03,2.7414e+04,2.0329e+04,4.7860e+03,1.0559e+04
21,2.2820e+05,7.6873e+05,2.8865e+05,2.2956e+05,1.9470e+05
22,2.6527e+02,4.5780e+02,1.9404e+02,1.5081e+02,8.9485e+01
23,3.1524e+02,3.2556e+02,3.1524e+02,3.1524e+02,3.1603e+02
24,2.3198e+02,2.3595e+02,2.3424e+02,2.2837e+02,2.2651e+02
25,2.0800e+02,2.1226e+02,2.0838e+02,2.0723e+02,2.0512e+02
26,1.0024e+02,1.1068e+02,1.0011e+02,1.0019e+02,1.0022e+02
27,4.5748e+02,6.2746e+02,3.6051e+02,3.2039e+02,4.0717e+02
28,9.0140e+02,1.1422e+03,8.7343e+02,8.4185e+02,8.7212e+02
29,1.4914e+03,5.1605e+04,1.6046e+03,1.5960e+03,3.0908e+03
30,3.2738e+03,3.2580e+04,3.5245e+03,3.2080e+03,2.6512e+03
