Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,2.5406e+06,1.8311e+06,1.6361e+07,7.8461e+05,8.0368e+06
2,7.0925e+03,1.0291e+04,2.3184e+07,9.9445e+03,7.1070e+07
3,1.8475e+03,1.1989e+04,2.6751e+04,1.0528e+04,8.8364e+03
4,8.5251e+01,7.5882e+01,1.2273e+02,7.5236e+01,1.4550e+02
5,2.0580e+01,2.0945e+01,2.0883e+01,2.0912e+01,2.0950e+01
6,7.1369e+00,2.7550e+00,8.3898e+00,9.0951e-01,7.1233e+00
7,2.2592e-02,3.6926e-04,9.1030e-01,4.3029e-04,1.6385e+00
8,3.1288e+01,1.5819e+01,1.3213e+02,1.1442e+01,5.1496e+01
9,4.0098e+01,1.8569e+01,2.0063e+02,2.1708e+01,1.3101e+02
10,5.6767e+02,3.3154e+02,1.9729e+03,1.9898e+02,8.0384e+02
11,1.9890e+03,7.2590e+02,4.1644e+03,2.6044e+03,3.1515e+03
12,4.4145e-01,1.3880e+00,1.6689e+00,2.4096e+00,2.5213e+00
13,2.1078e-01,1.2183e-01,6.1840e-01,1.9570e-01,2.4033e-01
14,2.8141e-01,3.9427e-01,8.8237e-01,3.0355e-01,3.9443e-01
15,4.1306e+00,3.1837e+00,3.2170e+01,4.0003e+00,1.6909e+01
16,9.5850e+00,1.1702e+01,1.3026e+01,1.1027e+01,1.1324e+01
17,3.5281e+05,6.4173e+05,9.8933e+05,2.6821e+05,3.7724e+05
18,9.6422e+02,1.4282e+03,3.4471e+03,7.3707e+02,4.2048e+03
19,6.5924e+00,8.6339e+00,8.3061e+00,3.7262e+00,8.0522e+00
20,8.9508e+03,2.0329e+04,4.6772e+04,4.7860e+03,1.0559e+04
21,1.7492e+05,2.8865e+05,5.2825e+05,2.2956e+05,1.9470e+05
22,2.4122e+02,1.9404e+02,2.4715e+02,1.5081e+02,8.9485e+01
23,3.1524e+02,3.1524e+02,3.1582e+02,3.1524e+02,3.1603e+02
24,2.3212e+02,2.3424e+02,2.3683e+02,2.2837e+02,2.2651e+02
25,2.0687e+02,2.0838e+02,2.0720e+02,2.0723e+02,2.0512e+02
26,1.0022e+02,1.0011e+02,1.0057e+02,1.0019e+02,1.0022e+02
27,4.5848e+02,3.6051e+02,5.1522e+02,3.2039e+02,4.0717e+02
28,9.1012e+02,8.7343e+02,8.6859e+02,8.4185e+02,8.7212e+02
29,1.3269e+03,1.6046e+03,1.2746e+06,1.5960e+03,3.0908e+03
30,2.6090e+03,3.5245e+03,3.6930e+03,3.2080e+03,2.6512e+03
