Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,5.3193e+06,1.3579e+08,5.3139e+07,1.4407e+06,2.6206e+06
2,6.2833e+03,1.4886e+09,1.3695e+09,1.6902e+03,8.6171e+03
3,2.7764e+03,6.9242e+04,6.1670e+04,3.0364e+03,5.0131e+03
4,1.0926e+02,3.0729e+02,1.6931e+02,9.3134e+01,1.1954e+02
5,2.0354e+01,2.0825e+01,2.1068e+01,2.0789e+01,2.0912e+01
6,8.7581e+00,1.7874e+01,1.8268e+01,9.2749e+00,7.5959e+00
7,1.5136e-02,1.9213e+01,6.1387e+00,6.2063e-02,1.2408e-02
8,3.2938e+01,6.1901e+01,8.7885e+01,4.3681e+01,3.9696e+01
9,4.9306e+01,9.1954e+01,1.7095e+02,4.9968e+01,5.2751e+01
10,7.0523e+02,2.4715e+03,3.1230e+03,8.3021e+02,9.2419e+02
11,1.6933e+03,4.5446e+03,5.5297e+03,1.9024e+03,1.5268e+03
12,4.1456e-01,1.4926e+00,2.6792e+00,7.8601e-02,5.2923e-02
13,2.4816e-01,4.8713e-01,7.8861e-01,2.8563e-01,2.3721e-01
14,3.1666e-01,1.1406e+00,2.2999e+00,3.9394e-01,3.9921e-01
15,5.0879e+00,2.6908e+02,6.3507e+04,4.8115e+00,3.4723e+00
16,9.9512e+00,1.2813e+01,1.3488e+01,1.0223e+01,9.2643e+00
17,4.6420e+05,9.7566e+06,4.2351e+06,3.0375e+05,4.4548e+05
18,2.3388e+03,4.8786e+06,6.8887e+03,4.4653e+03,9.5783e+03
19,8.4087e+00,8.4923e+01,2.5122e+01,1.3861e+01,1.3805e+01
20,1.0556e+04,6.3561e+04,5.0486e+04,1.4078e+04,1.8457e+04
21,1.9287e+05,1.6784e+06,9.7467e+05,1.4936e+05,1.5443e+05
22,2.6657e+02,5.7345e+02,6.7263e+02,4.4510e+02,3.2607e+02
23,3.1524e+02,3.3350e+02,3.3037e+02,3.1534e+02,3.1525e+02
24,2.3333e+02,2.4961e+02,2.5019e+02,2.3053e+02,2.3249e+02
25,2.0606e+02,2.2382e+02,2.0986e+02,2.0704e+02,2.0555e+02
26,1.0028e+02,1.1604e+02,1.1209e+02,1.1027e+02,1.0025e+02
27,4.5061e+02,7.8389e+02,8.0668e+02,5.3681e+02,4.7603e+02
28,9.0371e+02,1.4937e+03,1.1413e+03,9.3646e+02,9.8801e+02
29,1.5914e+03,1.1281e+06,1.3776e+06,1.6584e+03,4.5960e+05
30,3.3217e+03,3.2739e+04,1.3471e+04,3.0010e+03,2.6889e+03
