Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,1.7231e+06,1.3739e+07,1.7166e+06,4.5445e+06,1.2852e+05
2,1.6996e+03,2.1115e+07,5.2363e+03,2.3344e+03,3.7183e+03
3,2.7828e+03,1.3467e+04,1.7111e+04,5.1444e+03,2.2521e+03
4,1.8674e+01,4.1253e+01,2.8846e+01,2.6471e+01,2.4316e+01
5,1.9127e+01,2.0398e+01,2.0543e+01,1.8308e+01,1.8705e+01
6,6.8201e-01,3.3448e+00,3.6400e+00,8.9220e-01,1.3493e+00
7,2.6540e-02,3.7040e-01,7.4475e-02,2.7697e-02,6.7596e-02
8,5.7764e+00,1.2338e+01,1.6869e+01,6.6274e+00,6.7062e+00
9,6.8298e+00,1.6095e+01,2.4467e+01,9.3395e+00,8.5368e+00
10,9.3402e+01,3.3073e+02,3.8424e+02,1.1994e+02,1.3971e+02
11,4.6752e+02,7.7194e+02,1.0637e+03,4.7046e+02,2.5919e+02
12,4.4881e-01,8.4969e-01,1.1069e+00,3.5016e-01,8.0529e-02
13,1.0874e-01,2.4493e-01,2.7126e-01,7.5061e-02,7.1274e-02
14,2.9991e-01,4.5416e-01,4.3870e-01,2.9625e-01,2.5294e-01
15,1.0292e+00,2.2581e+00,1.5979e+00,1.0124e+00,7.6538e-01
16,2.0766e+00,3.2780e+00,3.5895e+00,1.8494e+00,1.7438e+00
17,1.8296e+04,5.2481e+05,1.5050e+05,1.6802e+05,7.9785e+03
18,3.3972e+03,1.6438e+04,1.0794e+04,6.4743e+03,1.1616e+04
19,1.0923e+00,2.6449e+00,2.4317e+00,1.1198e+00,1.2619e+00
20,2.0219e+03,6.7841e+03,1.0622e+04,6.7911e+03,4.0037e+03
21,3.6774e+03,1.0274e+05,1.5027e+04,2.8723e+04,1.8785e+03
22,2.1894e+01,7.7622e+01,6.1099e+01,3.7563e+01,3.7571e+01
23,3.2947e+02,3.3118e+02,3.3041e+02,3.2945e+02,3.2945e+02
24,1.1645e+02,1.3911e+02,1.3759e+02,1.2625e+02,1.1533e+02
25,1.7771e+02,1.9939e+02,1.9927e+02,1.9253e+02,1.9253e+02
26,1.0011e+02,1.0025e+02,1.0028e+02,1.0008e+02,1.0007e+02
27,1.2815e+02,3.3075e+02,3.1702e+02,2.8240e+02,2.0931e+02
28,3.9276e+02,4.8659e+02,4.2352e+02,4.1560e+02,4.5258e+02
29,5.1985e+02,4.1881e+04,1.5624e+05,6.1174e+02,4.6736e+02
30,6.7396e+02,1.4501e+03,8.0089e+02,8.0306e+02,9.1190e+02
