Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,3.0227e+06,1.1916e+08,1.4570e+06,1.4407e+06,2.6206e+06
2,1.4876e+05,1.2052e+09,1.1501e+04,1.6902e+03,8.6171e+03
3,1.9210e+04,8.1310e+04,2.1060e+04,3.0364e+03,5.0131e+03
4,7.4410e+01,2.6966e+02,8.9712e+01,9.3134e+01,1.1954e+02
5,2.0918e+01,2.1192e+01,2.0909e+01,2.0789e+01,2.0912e+01
6,7.6757e+00,1.7514e+01,7.8676e+00,9.2749e+00,7.5959e+00
7,1.4230e-02,1.8105e+01,1.7852e-02,6.2063e-02,1.2408e-02
8,2.8306e+01,5.9742e+01,2.7377e+01,4.3681e+01,3.9696e+01
9,4.0370e+01,1.1170e+02,4.4058e+01,4.9968e+01,5.2751e+01
10,9.2252e+02,3.0434e+03,1.0648e+03,8.3021e+02,9.2419e+02
11,2.6320e+03,7.4797e+03,3.1212e+03,1.9024e+03,1.5268e+03
12,3.9633e-01,4.0723e+00,2.0284e+00,7.8601e-02,5.2923e-02
13,2.5468e-01,5.9248e-01,2.1503e-01,2.8563e-01,2.3721e-01
14,3.1390e-01,2.3140e+00,3.0385e-01,3.9394e-01,3.9921e-01
15,3.8618e+00,1.7903e+02,4.1669e+00,4.8115e+00,3.4723e+00
16,9.3929e+00,1.3330e+01,9.3609e+00,1.0223e+01,9.2643e+00
17,4.9033e+05,1.1845e+07,7.9535e+05,3.0375e+05,4.4548e+05
18,1.6625e+03,5.3168e+06,2.7573e+03,4.4653e+03,9.5783e+03
19,6.7155e+00,7.1090e+01,7.0760e+00,1.3861e+01,1.3805e+01
20,1.1638e+04,8.4253e+04,2.7974e+04,1.4078e+04,1.8457e+04
21,2.8349e+05,2.3949e+06,3.5593e+05,1.4936e+05,1.5443e+05
22,2.6967e+02,6.7019e+02,3.6703e+02,4.4510e+02,3.2607e+02
23,3.1562e+02,3.2676e+02,3.1528e+02,3.1534e+02,3.1525e+02
24,2.3677e+02,2.4959e+02,2.3721e+02,2.3053e+02,2.3249e+02
25,2.1013e+02,2.2070e+02,2.1034e+02,2.0704e+02,2.0555e+02
26,1.0027e+02,1.1628e+02,1.0531e+02,1.1027e+02,1.0025e+02
27,4.4036e+02,7.5335e+02,4.8956e+02,5.3681e+02,4.7603e+02
28,9.4241e+02,1.3151e+03,9.2209e+02,9.3646e+02,9.8801e+02
29,2.4154e+03,1.4712e+06,4.3510e+05,1.6584e+03,4.5960e+05
30,5.3866e+03,5.9619e+04,6.8678e+03,3.0010e+03,2.6889e+03
