Función, BestFness, BestFness, BestFness, BestFness, BestFness
1,1.2235e+07,1.3579e+08,5.3139e+07,1.4407e+06,2.6206e+06
2,8.8313e+08,1.4886e+09,1.3695e+09,1.6902e+03,8.6171e+03
3,4.3356e+04,6.9242e+04,6.1670e+04,3.0364e+03,5.0131e+03
4,1.4900e+02,3.0729e+02,1.6931e+02,9.3134e+01,1.1954e+02
5,2.0766e+01,2.0825e+01,2.1068e+01,2.0789e+01,2.0912e+01
6,1.6990e+01,1.7874e+01,1.8268e+01,9.2749e+00,7.5959e+00
7,3.9576e+00,1.9213e+01,6.1387e+00,6.2063e-02,1.2408e-02
8,7.8292e+01,6.1901e+01,8.7885e+01,4.3681e+01,3.9696e+01
9,1.2591e+02,9.1954e+01,1.7095e+02,4.9968e+01,5.2751e+01
10,2.3813e+03,2.4715e+03,3.1230e+03,8.3021e+02,9.2419e+02
11,4.4359e+03,4.5446e+03,5.5297e+03,1.9024e+03,1.5268e+03
12,2.4028e+00,1.4926e+00,2.6792e+00,7.8601e-02,5.2923e-02
13,6.3069e-01,4.8713e-01,7.8861e-01,2.8563e-01,2.3721e-01
14,7.7631e-01,1.1406e+00,2.2999e+00,3.9394e-01,3.9921e-01
15,2.6328e+02,2.6908e+02,6.3507e+04,4.8115e+00,3.4723e+00
16,1.2874e+01,1.2813e+01,1.3488e+01,1.0223e+01,9.2643e+00
17,1.8014e+06,9.7566e+06,4.2351e+06,3.0375e+05,4.4548e+05
18,5.3439e+03,4.8786e+06,6.8887e+03,4.4653e+03,9.5783e+03
19,3.0533e+01,8.4923e+01,2.5122e+01,1.3861e+01,1.3805e+01
20,3.8641e+04,6.3561e+04,5.0486e+04,1.4078e+04,1.8457e+04
21,6.2263e+05,1.6784e+06,9.7467e+05,1.4936e+05,1.5443e+05
22,6.5347e+02,5.7345e+02,6.7263e+02,4.4510e+02,3.2607e+02
23,3.1799e+02,3.3350e+02,3.3037e+02,3.1534e+02,3.1525e+02
24,2.4435e+02,2.4961e+02,2.5019e+02,2.3053e+02,2.3249e+02
25,2.1539e+02,2.2382e+02,2.0986e+02,2.0704e+02,2.0555e+02
26,1.0562e+02,1.1604e+02,1.1209e+02,1.1027e+02,1.0025e+02
27,7.1751e+02,7.8389e+02,8.0668e+02,5.3681e+02,4.7603e+02
28,1.1479e+03,1.4937e+03,1.1413e+03,9.3646e+02,9.8801e+02
29,4.2708e+05,1.1281e+06,1.3776e+06,1.6584e+03,4.5960e+05
30,8.1829e+03,3.2739e+04,1.3471e+04,3.0010e+03,2.6889e+03
