Función, BestFness, BestFness, BestFness, BestFness
1,5.1771e+06,3.0227e+06,2.8377e+07,4.7377e+07
2,9.3516e+03,1.4876e+05,4.6875e+08,9.0187e+06
3,2.8612e+03,1.9210e+04,2.3287e+04,1.0367e+04
4,9.5424e+01,7.4410e+01,1.6173e+02,2.0490e+02
5,2.0677e+01,2.0918e+01,2.1107e+01,2.0562e+01
6,6.9519e+00,7.6757e+00,1.1470e+01,2.7190e+01
7,2.6638e-02,1.4230e-02,4.2070e+00,1.0714e+00
8,2.7774e+01,2.8306e+01,5.4801e+01,1.0487e+02
9,4.1652e+01,4.0370e+01,7.9479e+01,1.5615e+02
10,5.7865e+02,9.2252e+02,1.5969e+03,3.6160e+03
11,1.3906e+03,2.6320e+03,4.6133e+03,4.8571e+03
12,2.1299e-01,3.9633e-01,3.4170e+00,8.1056e-01
13,2.0226e-01,2.5468e-01,5.6169e-01,3.6592e-01
14,2.9372e-01,3.1390e-01,4.2483e-01,3.9532e-01
15,4.0990e+00,3.8618e+00,1.4657e+02,2.5273e+01
16,9.4650e+00,9.3929e+00,1.2741e+01,1.2016e+01
17,3.8396e+05,4.9033e+05,4.7702e+06,2.4978e+06
18,4.7465e+02,1.6625e+03,3.9003e+04,3.0289e+04
19,6.6742e+00,6.7155e+00,2.4999e+01,3.3234e+01
20,7.8843e+03,1.1638e+04,3.8391e+04,1.2069e+04
21,1.9271e+05,2.8349e+05,7.6119e+05,6.7911e+05
22,1.9731e+02,2.6967e+02,5.3761e+02,3.8305e+02
23,3.1524e+02,3.1562e+02,3.1876e+02,3.1634e+02
24,2.3175e+02,2.3677e+02,2.3999e+02,2.4118e+02
25,2.0696e+02,2.1013e+02,2.1364e+02,2.1916e+02
26,1.0021e+02,1.0027e+02,1.0051e+02,1.1587e+02
27,4.2317e+02,4.4036e+02,5.8582e+02,6.7494e+02
28,8.9731e+02,9.4241e+02,1.0280e+03,1.6793e+03
29,1.2977e+03,2.4154e+03,4.3628e+03,1.0053e+04
30,2.7189e+03,5.3866e+03,1.3362e+04,7.4640e+03
